txtid	date	year	settlement	county	from	to	soc.stat	hit
Bosz. 15.		1591	Feketebátor, 	Bihar megye				 Ezen barat mihalnetul varga annok  [[ker  volt ]] egj vika buzat ugj  || hogj eo oliat zerzene,  || hogj az eo ura soha meg nem verhetne.  || 
								 5. Ilona, Teorek Miklósné azt nem tuggya,  || mi okáért {\!hogj}mívelte,  || de ezt hallotta,  || hogy Zeoch Benedekné illen {\!zj}szókkal  [[szitkozódik  volt:  ||]]  „Ha férfi mondja is,  || esse kurvafiául hazud benne,  || ha asszonember is,  || esse kurvájul,  || ugyan esse lélek kurvájul hazud.”  || 
								 Ez szitkokra csak tudománt  [[teszen  volt ]] Katalin.  || 
								 Azt is látta,  || hogy egy vásár napján kirakodott volt ez Katalin,  || {\!elj}azonba eljöttek az vásárbírák,  || {%és} zálagat vöttek Katalinnak,  || hogy  [[panaszolkodik  volt ]] róla.  || 
								 {%Azt} {%is}  [[{%mongya}  {%volt,]]   ||} {%hogy} {%tudom} {%én,}  || {%ez} {%ki} {%dolga.}  || 
								 6. Sos Máténé Margit azt vallja,  || hogy hallotta,  || hogy Zeoch Benedekné  [[szitkozódik  volt,  ||]]  hogy: „Esse lélek kurvafiául,  || ha férfi,  || ha asszonember,  || esse kurvájul hazud benne!”  || 
								 Valaki azt mondja,  || {%de} {%senkit} {%nem}  [[{%nevez}  {%volt,]]   ||} 
								 Azután esmét {%egykor}  [[beszél  volt ]] vele, Katalinnal, sátora előtt Bestercey Györgyné,  ||{ mongya volt }ezt is {%Katalin} szoa közben:  || !„Tudom ezt,  || ki dolga.”  || Mond az kamarából Zeochné:  || „Bezzeg úgy, fojtó,  || bezzeg úgy aghgwlia!”  || 
								 8. Magdalna, István deákné azt vallja,  || hogy hallotta  || Zeoch Benedekné Partazeoweo Katalint háta megé bestye kurvának szitta,  || fojtónak is monta {%szembe},  ||és || hogy  [[beidézi  volt,:  ||]] ?Joswltnek is monta, || szászul több feddődése is volt,  || de nem értette.  || 
								 9. Dorottya, Zabo Lászlóné azt vallja,  || hallotta, || hogy Zeoch Benedekné  [[idézi  volt ]] Katalint,:  || ?Joswltnek monta,  ||és, || hogy némel nap az nagy esső lött volt  ||{ hányja volt }kamarájából az vizet,  ||!az {mondja volt: ||} „Te, bestye, te miád vallom ez !ez kárt!  || 
								 Ilona, Zekel Benedekné azt vallja,  ||hogy ő || mikor hallotta volna,  || hogy megfogtatta volna az Thakachné az Bekennét,  || [[feddi  volt ]] az Byllernét, || miért szólnak ollyat,  || hogy háborúság támad belőle.  || 
								 Az több beszédi közt jut eszébe,  || hogy valami három macskát is  [[emleget  volt,  ||]]  de nem jut eszében,  || fejért vagy feketét {mond volt,  ||} sem !azt,  || hogy hul látta volna.  || 
								 {\!lat!%Utroque.} Thimar Péterné Katalin azt vallja,  || hogy hallotta az Bekennétűl az sitőházban,  || [[ mongya  volt,  ||]] hogy: {\!Ment ő az}„Mentem, || úgymond, ||az Thakachnéhoz, || ölteztettem, || bántam vele,  || {%mert} {%hozzá} {%hívatott.}  || 
								 {\!lat!%Utroque.} {%Néhai} Somogy Andrásné Márta azt vallja,  || hogy az Kis Boldizsárnétűl, Bekennétűl hallotta,  || ezt  [[beszéli  volt:  ||]] „Az Thakachné || mikor igen beteges vala,  ||hívatott hozzá, || hogy bekeszkenődjem,  || öltöztessem. || 
								 {\!lat!%Utroque.} Thordaj Imréné Anna azt vallja,  || hallotta az Vayda Katus sitőházába az Bekennétűl,  || azt  [[mongya  volt,  ||]]  látta, || az Takachné macskával {esszik volt }az tálból,  || 
								 Éva, Takacz Krestelné azt vallja,  || hogy egy nap az Vayda Katus sitőházában volt,  || hallotta az Bekkenétűl,  || azt  [[mongya  volt,  ||]]  hogy egy prédikáció alatt ment volt ő Thakach Balázsnéhoz,  || és úgy találta,  || hogy három fekete macskával {esszik volt }egy tálból.  || 
								 3. Katalin, Feyer Benedekné azt vallja,  || hogy tavaly nyárban {\!hallotta}azt  [[mongya  volt ]] Fekete Kató {\!Nagy Ágostonnénak}őneki,  || hogy fejét veteti  || és az alfeléhez teteti.  || 
								 2. Anna, Zemetbiro Máténé az udvarra ment volt  || és hallotta,  || Fekete Kató  [[mondja  volt ]] Ágoston feleségének:  || „{%Te} sánta, cipertes, koszos!”  || 
								 3. Margit, Takacz Balázsné azt vallja,  || hogy kúton  [[merít  volt,  ||]]  és hallotta,  || hogy Fekete Kató és Ágoston {feddődnek volt,  ||} és fejér fát {emlegetnek volt.  ||} 
								 4. Manyky Nagy Ádám azt vallja,  || hogy hallotta,  || Ágoston  [[mongya  volt:  ||]]  „Mennyi asszonember hajat hánták elj itt,  || 
								 Hallotta Fekete Katótúl,  || őneki  [[{%beszélli}  {\!Mongya]] volt,  ||}hogy || minekutánna az házat megvötte volna Ágostontúl,  ||az kemence szájából kilopta volna az követ {%Ágoston}, || ő penig esmét visszavitte volna {%tőle}.  || 
								 Hallotta, || hogy  [[szapolódik  volt ]] Ille@ modon:  || „Ím, azt költették,  || hogy az én fiam minden pénzért tizet veszen,  || azért mit az házra költet,  || de szőrféreg rágja meg nelvét,  || ki azt költette.”  || 
								 Angalit, Hegedws Máténé azt vallja,  || hogy tavaly pünköstbe egy reggel  [[mennek  {\!to]] volt }az Kató leányi prédikációra,  || látta, || hogy pirossak voltak arcul.  || 
