txtid	date	year	settlement	county	from	to	soc.stat	hit
Bark. 22.	1704-03-31	1704			Barkóczy Krisztina	Károlyi Sándor	nemes	 Mostan azért dolgom alkalmatoson folyna,  || csak a nagy szükség miá így el ne  [[kel  vala ]] ezen jószágnak pusztulni.  || 
Bark. 75.	1705-11-12	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	[[ Írja  vala ]] Kegyelmed,  ||bárcsak || míg ezen ellenség bemehet-é,  || elválik, ||ne mennék fel. || 
Bark. 76.	1705-11-19	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Bárcsak Bátyám ne  [[!jő  vala ]] ki!  || 
Bark. 130.	1706-?10-?01	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Épen  [[megbarátkoznak  vala ]] a Mikes Úrfival.  || 
Bark. 135.	1706-10-19	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Csáki Lász{\...} lovára és a Bánfi Lászlóéra  [[beküldök  vala,  ||]] de || már aki ígérkezet,  ||ezen hírre nézve, megtartózkodot. || S azt mondja Orosz Pál Uram,  || nincs bizony ot Kegyelmednek való.  || 
Bark. 152.	1706-12-12	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Én mind@ azt  [[várom  vala, ]] Édesem,  || ha Orosz Pál Uram {odamegyen vala,  ||} hogy Isten Kegyelmedet közeleb hozza.  || 
Bark. 164.	1707-05-03	1707			Barkóczy Krisztina	Károlyi Sándor	nemes	 Valóba bánom,  ||mivel minden dolgot, || akit közölnöm  [[kel  vala,  ||]] elhalasztá Kegyelmed, || s akor hirtelen a készületrül is vagy egyébrül kevés beszélni.  || 
Bark. 194.	1708-07-18	1708			Barkóczy Krisztina	Károlyi Sándor	nemes	 Én már, Szívem, Matusalemet is  [[meghaladom  vala.  ||]]  
Bark. 195.	1708-07-21	1708			Barkóczy Krisztina	Károlyi Sándor	nemes	 Ennek régen  [[kell  vala ]] lenni,  || de szekeret nem vehetek rajtok.  || 
Bark. 196.	1708-07-23	1708			Barkóczy Krisztina	Károlyi Sándor	nemes	 Ha eléb  [[beszéllek  vala ]] vélle,  || nem őriztetném it,  || edig elküldtem volna innet már.  || 
Bark. 200.	1708-08-02	1708			Barkóczy Krisztina	Károlyi Sándor	nemes	 Én ugyan örömest  [[beszéllek  vala ]] Kegyelmeddel, a rosz-félét is forgatván,  || hol gondolkodnék az ember magát megvonni.  || 
Bark. 201.	1708-08-02	1708			Barkóczy Krisztina	Károlyi Sándor	nemes	 Úgy jó  [[lesz  vala,  ||]]  amint én akartam,  || de már had múljék.  || 
Bark. 207.	1708-09-27	1708			Barkóczy Krisztina	Károlyi Sándor	nemes	 El is  [[indítom  vala,  ||]]  de Fekete Ferenc mondja,  || hogy már mind írásba küldte neveket Varasdi Uramnak,  || s talám megszabadulnak.  || 
Bark. 235.	1709-04-19	1709			Barkóczy Krisztina	Károlyi Sándor	nemes	 Melyre edig azért nem írtam,  || hogy haza akartam menni okvetetlen,  || s onnét mindenekrül bűvebben  [[tudósíthatom  vala ]] Kegyelmedet.  || 
Bark. 240.	1709-04-27	1709			Barkóczy Krisztina	Károlyi Sándor	nemes	 Bár csak a többi se  [[szalad  vala ]] el,  || ez megeset rajta.  || 
Bark. 264.	1710-08-15	1710			Barkóczy Krisztina	Károlyi Sándor	nemes	 De tegnap egy híres borbélyt hívatván hozzá,  || majd pestist  [[csinál  vala ]] belőlle,  || ha elhinné az ember.  || 
Bark. 304.	1710-12-21	1710			Barkóczy Krisztina	Károlyi Sándor	nemes	 Bárcsak Ötvös Miklós  [[lesz  vala ]] szabad ember,  || magával minden dolog jobban menne végbe.  || 
Bark. 315.	1711-01-07	1711			Barkóczy Krisztina	Károlyi Sándor	nemes	 Én épen  [[elindulok  vala,  ||]]  de sok akadályim esvén,  || 
Bark. 315.	1711-01-07	1711			Barkóczy Krisztina	Károlyi Sándor	nemes	Azért ugyanollyan szándékkal, || hogyha ott megunom,  ||csak lemegyek, || onnét is csak  [[elindulok  vala.  ||]]  
Bosz. 15.		1591	Feketebátor, 	Bihar megye				 Pap lukacinera zobonj anburusne ezt vallja hitivel.  || Egikor pap lukacine  [[ker  vala ]] tulem vajat,  || es nem adek,  || 
Bosz. 15.		1591	Feketebátor, 	Bihar megye				 es monda  || »ith  [[ilunk  vala  ||]]  es {nezok vala  ||} hog az tehenekel ugj vezodol,  || 
Bosz. 15.		1591	Feketebátor, 	Bihar megye				 ismet ez utan  [[ker  vala ]] tulem penzt,  || es nem adek  || es hortelen olj niaualiam len,  || hogj ciak meg nem halek,  || es kalman istuan giolgita meg.  || 
Bosz. 30.		1717	Nagyszalonta, 	Bihar megye				 egykor nem sok napok mulva etczakának idejin látt a fatens három aszszonjokat az házban,  || mely aszszonyok meg  [[akarjak  vala ]] metczeni torkát a gyermekemnek,  || 
Bosz. 114.		1721	Esztergom, 	Esztergom megye				 az mint meg is szollitotta a felesége a fatensnek ellenzisse ellen is azon Jobbagy Eörsit,  || és eö csak azt  [[feleli  vala ]] neki  || hogy mind ollyan gyanús kientek,  || hogy mind én ártok,  || kennye meg kiend Szemit nyállal,  || mingyart meg gyogyul,  || 
Bosz. 114.		1721	Esztergom, 	Esztergom megye				 elsűbe ugyan  [[menti  vala ]] magát,  || hogy eő bizony semmit sem tud ahoz.  || 
Bosz. 213.		1718	Tallós, 	Pozsony megye				 eő pediglen emlétet fatens mint hitös társa akarván tudni zugolodással  [[feddődik  vala ]] ellene  || hogy hol járna olly sokaig  || 
Bosz. 292.		1745	Csorna, 	Sopron megye				 az Attya, és Annya a Leánynak lamentálodván, szaladnak a Plebanos Urhoz,  || Tanácsot ottan kirvén, és szentölt joszágot,  || és  [[mondgyák  vala,  ||]]  hógy a Rácznéra gyanakodnának,  || 
Bosz. 296.		1755	Kapuvár, 	Sopron megye				 tudja mind azonáltal azt a fatens Aszon,  ||hogy mégh azon üdőben, || a midőn emlétett Kiss Ferencznek Edes Attyával mint férjivel lakott volt,  ||történt; || hogy egykori alkalmatossághal Horváth Lőrincznével megh irtt Kiss Ferencznek egy Testvér hugával tojásokat keresni az héjban fel ment volna,  || ottan akad a három holt Ember koponyára,  || mellyeket ugyan az huga rugta előll láboival,  || de az egyik csak  [[fél  vala,  ||]]  kiket hogy eő az fatens Asszon megh láta,  || igen ell rémülle,  || és azonnal,  ||hogy férje estve felé || (mivel az halászó vizekre volt)  ||házához vissza tért || ugy panaszképpen jelenti a fatens Asszon,  || hogy három Koponya főt talált az héjban,  ||és || ha csak azok az háztul ell nem vitettettnek,  ||éczaka ki nem mér menni a szobábul, || 
Bosz. 328.		1751	Eszlár, 	Szabolcs-Szatmár megye				 látván pedig ezen Fatensnek Ura igyekezetit Horvátt Miháljnénak  || féltvén által,  || hogy a@ vizben hal  || [[ kiván  vala ]] eleiben menni,  || és kezének meg fogásával rajta segiteni,  || melljet látván a nevezet Aszszonynak veje Bako György  || kiáltotta, || né báncsd szomszéd  || hagj békét  || mert nem hall belé,  || 
JLev. MNy. 46: 88–90	1573	1573				pozsonyi kamara	jobbágy	 mãſt azt@ ÿſ akariűk te nagÿſſagtoknak túdaſtokra adnűnk  || hogÿ mēgh az regÿ vrak erſſekkek ideieben sem voth törwÿnönk az zantaſ  ||ha nem || mÿkor egÿel  [[laknak  wala ]] az tÿztarthok  ||ketÿen kÿrÿnek thölönk zanthokat || kÿ thörwÿnönk nem wolt  || 
JLev. MNy. 53: 262	1577-07-08	1577					céhmester	 konÿeben@ ÿs  [[meg lehet  vala ]] a Bekóſeg  || de a vrak nalŭnk at nem akarak a módon  || a mÿnt kegÿelmetók {keŭanÿa vala  ||} de a mÿnd !hagÿarÿon  || a mÿ meg lótt  || meg lót || 
Kár. 26.	1704-12-29	1704			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Valamint hogy az ünnepekre való hazamenetelemben megcsalatkoztam,  || szintén úgy az próbámban is,  || mert Karácsonra virradóra  [[akarom  vala ]] Gyulát ostrommal megpróbálni  || s magam el is jöttem,  || de Gencsi és Ibrányi az hadakkal hova vesztenek,  || nem tudom.  || 
Kár. 32.	1705-02-01	1705			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Nekem elég káromra vala azon conferentia,  || mert 7 compania német addig Szombatbul kimene,  || kit szépen  [[levágathatok  vala ]] mind,  || ha itthon {leszek vala.  ||} 
