txtid	date	year	settlement	county	from	to	soc.stat	hit
Bark. 2.	1698-09-24	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Miként ment végbe,  || már ennek előtte  [[írtam  vala ]] Kegyelmednek rész szerént felőlle.  || 
Bark. 17.	1703-11-21	1703			Barkóczy Krisztina	Károlyi Sándor	nemes	 Vitkai Uram mégsem jöve haza,  || mindjárt küldöm,  || de úgy emlékezem reá,  || ő Kegyelmét  [[rendelte  vala ]] Kegyelmed viceispánnak.  || 
Bark. 28.	1704-05-14	1704			Barkóczy Krisztina	Károlyi Sándor	nemes	[[ Tudósítottam  vala ]] Kegyelmedet, Édesem, Salánkrul is,  || hogyha mi keveset késik a szekér,  || okát tudhassa Kegyelmed.  || 
Bark. 40.	1705-05-01	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Szintén az sézával  [[megindítottam  vala ]] Eötvös Miklós Uramot.  || 
Bark. 55.	1705-06-15	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Nemes Szabolcs vármegyére emberemet  [[küldöttem  vala ]] be, az baktaiak, gemseiek és pályiak iránt,  || kik már annyira voltanak,  || hogy hellyeket pusztán akarták hadni mind az portális hajdúk, s mind egyéb contributióknak megterheltetések miatt.  || 
Bark. 84.	1706-03-29	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Ezen  [[elijedtem  vala,  ||]]  hogy az ünnepen pap nélkül lesz Kegyelmetek,  ||de || úgy látom,  ||a Pater van oly resulutioba, || hogy ott legyen Kegyelmed terminussa szerint.  || 
Bark. 98.	1706-05-22	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	Már alkalmas ideje, Édesem, || úgy tudom,  ||írtam volt Kegyelmednek, || amely Vízaknai nevű doktort  [[commendálták  vala ]] Szebenbe,  || aki Balku Pált is meggyógyította,  || hogyha valami módon kieresztené Rabbutin,  || bárcsak egy bizonyos helyre,  || de, Édesem, semmi választ Kegyelmedtül iránta nem vettem.  || 
Bark. 99.	1706-05-23	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Az estve  [[írtam  vala, ]] Édes Lelkem,  || ma pedig templomba lételemkor veszem, Édesem, Kegyelmed datum nélkül való levelét az armistitium iránt.  || 
Bark. 125.	1706-08-11	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Lehet emlékezetibe Kegyelmednek, Szívem,  || Győrirül  [[írta  vala ]] Kegyelmed,  ||hogy || alá nem mehetvén a pusztára az ezer után,  ||itten, || ha mi hasznát vehetem,  ||legyen. || 
Bark. 125.	1706-08-11	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Kisaszony napjára Szőlősre  [[fordultam  vala.  ||]]  
Bark. 129	1706-09-30	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Az bányai barátokrul  [[írtam  vala ]] e minap.  || 
Bark. 135.	1706-10-19	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Jóllehet, Édesem, még harmadnapal ezelőt  [[kezdtem  vala ]] ezt a levelet írnom,  || de || hogy Csiszár István levelét vettem Bercelrül vasárnap a történt casusrul,  || mellyet ő sem tudot,  || mint ment végbe.  || 
Bark. 141.	1706-11-03	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Ma  [[írtam  vala ]] ugyan Kegyelmednek az ürmös bort elküldvén,  || mely is hol éri Kegyelmedet,  || nem tudom.  || 
