txtid	date	year	settlement	county	from	to	soc.stat	hit
Bark. 1.	1698-09-11	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Ez elébbi levelembe bővön  [[írtam  volt ]] Kegyelmednek tanácsló s biztatói felől.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Görög Miklós pedig,  || kit Kegyelmed lajstromban írt meg Kegyelmed itthonlétében,  || [[ elment  volt,  ||]]  marhákat hajtván fel.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	Az sót, || még mikor emberem oda volt,  ||el nem  [[adták  volt, ||]]  senki sem kérte.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Édes Szívem, azon legyen Kegyelmed,  || hogy kénszeríttessék írni s olvasni,  ||mert || ha csak az is eszibe jut,  || hogy Labbancz egyszer részegen  [[ment  volt ]] eleibe,  || az mirül Labbancz annak ismeri,  ||lehetetlen, || hogy az írást s olvasást is elfelejtette volna.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	Azelőtt pedig, || maga is tudja Kegyelmed,  ||miként  [[megbúsult  volt, ||]]  de már van nagy öröme.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	Már az katonák is, || az kik  [[elkísérték  volt,  ||]] igen haza szökdöstek, nem győzvén a sok garbancaságot. || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Most Leleszre  [[küldött  volt,  ||]]  hogy az esketést párban kiadják,  ||de || pénz nem lévén,  ||üresen jöttek el. || 
Bark. 5.	1698-10-05	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	Édes Szívem, || az mely hírt Kegyelmed ír Debrecenrül,  ||nekem is volt tudtomra, || hogy  [[megrezzentek  volt ]] derekasan,  ||de || minthogy az {elmúlt volt,  ||}én nem is írtam meg. || 
Bark. 5.	1698-10-05	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Azolta is  [[írt  volt ]] szegíny Úr Kegyelmedk,  || úgy Korvinyi Uram is.  || 
Bark. 5.	1698-10-05	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Tudósítván Kegyelmedet,  [[írta  volt ]] Antal Úr,  || hogy Tömösvár alá {ment volt,  ||} mégis ne mondhassák,  || Rómába volt,  || s pápát nem látot.  || 
Bark. 7.	1699-06-05	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 Édesem, hozzon Kegyelmed olyan réz galandot,  || mint Orosz Pál Uram  [[hozott  volt.  ||]]  Fehért is egy véggel, sárgát is.  || 
Bark. 7.	1699-06-05	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 Fél@ talléron  [[vette  volt ]] végit,  || melyben vagyon 36 sing is s vagy két asztalra való.  || 
Bark. 8.	1699-06-09	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 Én okát addig tudakoztam,  || mitül rosz,  || már nem csudálom,  ||mert || amint Borbély György mondja,  || mikor vitték,  ||sok ízbe megázot az árvízbe, || talám fel is  [[dűltek  volt ]] velle,  || s azután a meleg, ha megsütötte,  || el kellet romlani.  || 
Bark. 12.	1703-11-02	1703			Barkóczy Krisztina	Károlyi Sándor	nemes	 Otlétemben hozák a Detrik válaszát,  || a Kegyelmed levelét is akor  [[küldték  volt ]] be.  || 
Bark. 17.	1703-11-21	1703			Barkóczy Krisztina	Károlyi Sándor	nemes	 Most semmi ollyas hírrül nem tudósíthatom Kegyelmedet,  || hanem jötön jőnek az katonák Erdélybül,  || az kik Bóné Urammal  [[bementek  volt, ]] Váradtul mind egy nyomon.  || 
Bark. 18.	1703-11-24	1703			Barkóczy Krisztina	Károlyi Sándor	nemes	 Elevenen csak egy németet fogtak,  || s azt az kettőt,  || ki hírmondani  [[ment  volt.  ||]]  
Bark. 19.	1704-01-25	1704			Barkóczy Krisztina	Károlyi Sándor	nemes	 A váradi sáncbul is  [[vit  volt ]] segítséget  ||s || úgy mondják,  ||a portássába eset is kár. || 
Bark. 19.	1704-01-25	1704			Barkóczy Krisztina	Károlyi Sándor	nemes	 Vagy hatvan szánat  [[szerzet  volt ]] is rá Eötvös Miklós,  || s egy keveset találtak, mintegy tizenhat szánnal,  || s atul is tilalmazták az ecsediek, Pápai Uraménak mondván.  || 
