txtid	date	year	settlement	county	from	to	soc.stat	hit
Bark. 2.	1698-09-24	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Miként ment végbe,  || már ennek előtte írtam  [[vala ]]  Kegyelmednek rész szerént felőlle.  || 
Bark. 8.	1699-06-09	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 Szintén most  [[vala ]]  it ben Molnár János,  || e héten két követ fel akar tenni.  || 
Bark. 16.	1703-11-19	1703			Barkóczy Krisztina	Károlyi Sándor	nemes	 Igazán Kohári István bátyám uramnak is nem  [[vala ]]  edig kedve az hadakozásra az kezére nézve,  || de most azt is elfelejtette,  || s az másik is most buzdult fel.  || 
Bark. 17.	1703-11-21	1703			Barkóczy Krisztina	Károlyi Sándor	nemes	 Vitkai Uram mégsem jöve haza,  || mindjárt küldöm,  || de úgy emlékezem reá,  || ő Kegyelmét rendelte  [[vala ]]  Kegyelmed viceispánnak.  || 
Bark. 22.	1704-03-31	1704			Barkóczy Krisztina	Károlyi Sándor	nemes	 Mostan azért dolgom alkalmatoson folyna,  || csak a nagy szükség miá így el ne kel  [[vala ]]  ezen jószágnak pusztulni.  || 
Bark. 28.	1704-05-14	1704			Barkóczy Krisztina	Károlyi Sándor	nemes	 Tudósítottam  [[vala ]]  Kegyelmedet, Édesem, Salánkrul is,  || hogyha mi keveset késik a szekér,  || okát tudhassa Kegyelmed.  || 
Bark. 30.	1704-09-06	1704			Barkóczy Krisztina	Károlyi Sándor	nemes	 Örökké szerencsénk  [[vala ]]  ahoz,  ||hogy || amink volt,  ||örökké töbnek hirdesék, || de most irigylik is sokan.  || 
Bark. 36.	1705-03-31	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Már alkalmasint tudván,  || mi tetszik ő Nagyságának,  || elhittem, || füstbe megyen gonosz akarói szándéki.  ||Mert ott Kegyelmednek, || az mint mondják,  ||kevés jóakarója van, || s nem apasztja a rosz hírt,  || hanem neveli.  || De a sok gonosz akaróhoz mindenkor szerencséje  [[vala ]]  Kegyelmednek, Szívem.  || 
Bark. 40.	1705-05-01	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Szintén az sézával megindítottam  [[vala ]]  Eötvös Miklós Uramot.  || 
Bark. 41.	1705-05-07	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Egész szándékom  [[vala,  ||]]  hogy || ha csak Ecsedig is,  ||Kegyelmedet, Édes Szívem, elkísírjem, || de Kegyelmednek, Édesem, semmi akaratját észre nem vévén, elmulattam.  || 
Bark. 55.	1705-06-15	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Nemes Szabolcs vármegyére emberemet küldöttem  [[vala ]]  be, az baktaiak, gemseiek és pályiak iránt,  || kik már annyira voltanak,  || hogy hellyeket pusztán akarták hadni mind az portális hajdúk, s mind egyéb contributióknak megterheltetések miatt.  || 
Bark. 75.	1705-11-12	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Írja  [[vala ]]  Kegyelmed,  ||bárcsak || míg ezen ellenség bemehet-é,  || elválik, ||ne mennék fel. || 
Bark. 76.	1705-11-19	1705			Barkóczy Krisztina	Károlyi Sándor	nemes	 Bárcsak Bátyám ne !jő  [[vala ]]  ki!  || 
Bark. 84.	1706-03-29	1706			Barkóczy Krisztina	Károlyi Sándor	nemes	 Ezen elijedtem  [[vala,  ||]]   hogy az ünnepen pap nélkül lesz Kegyelmetek,  ||de || úgy látom,  ||a Pater van oly resulutioba, || hogy ott legyen Kegyelmed terminussa szerint.  || 
