txtid	date	year	settlement	county	from	to	soc.stat	hit
Bark. 1.	1698-09-11	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Ez elébbi levelembe bővön írtam  [[volt ]]  Kegyelmednek tanácsló s biztatói felől.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 !Kikre is, úgy  [[volt,  ||]]   hogy az éjjel kimenjenek Szakmárrul.  || Asszonyom Anyám ő Nagysága is most egyszer ide költözött.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Görög Miklós pedig,  || kit Kegyelmed lajstromban írt meg Kegyelmed itthonlétében,  || elment  [[volt,  ||]]   marhákat hajtván fel.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	Az sót, || még mikor emberem oda volt,  ||el nem adták  [[volt, ||]]   senki sem kérte.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Édes Szívem, azon legyen Kegyelmed,  || hogy kénszeríttessék írni s olvasni,  ||mert || ha csak az is eszibe jut,  || hogy Labbancz egyszer részegen ment  [[volt ]]  eleibe,  || az mirül Labbancz annak ismeri,  ||lehetetlen, || hogy az írást s olvasást is elfelejtette volna.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	Azelőtt pedig, || maga is tudja Kegyelmed,  ||miként megbúsult  [[volt, ||]]   de már van nagy öröme.  || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	Már az katonák is, || az kik elkísérték  [[volt,  ||]]  igen haza szökdöstek, nem győzvén a sok garbancaságot. || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Itten is németek lévén,  || míg itthon  [[volt,  ||]]  sok alkalmatlansági miatt || jó, ||hogy bennek vagy megölni vagy megsebesíteni nem talált. || 
Bark. 3.	1698-09-29	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Most Leleszre küldött  [[volt,  ||]]   hogy az esketést párban kiadják,  ||de || pénz nem lévén,  ||üresen jöttek el. || 
Bark. 5.	1698-10-05	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Mert e napokban hazajövén,  || semmiképen asztalhoz nem híjhaták,  || s az kétfelé való gazdálkodás pedig nem  [[volt ]]  szintén úgy,  || azmint ő szerette volna,  || s itt pedig haraggal keveset használt volna magának,  || s csak fogta magát  || s elment.  || 
Bark. 5.	1698-10-05	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	Édes Szívem, || az mely hírt Kegyelmed ír Debrecenrül,  ||nekem is  [[volt } tudtomra, || hogy megrezzentek {volt ]] derekasan,  ||de || minthogy az elmúlt {volt,  ||}én nem is írtam meg. || 
Bark. 5.	1698-10-05	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Minthogy nagy része ugyan szép  [[volt,  ||]]   abbul vettettem most, Édesem.  || 
Bark. 5.	1698-10-05	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Azolta is írt  [[volt ]]  szegíny Úr Kegyelmedk,  || úgy Korvinyi Uram is.  || 
Bark. 5.	1698-10-05	1698			Barkóczy Krisztina	Károlyi Sándor	nemes	 Tudósítván Kegyelmedet, írta  [[volt } Antal Úr,  || hogy Tömösvár alá ment {volt,  ||]]  mégis ne mondhassák,  || Rómába {volt,  ||} s pápát nem látot.  || 
Bark. 7.	1699-06-05	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 Az vasat elreszelték,  || Mihók itt is hagyta  || s megesmersett,  || hogy viasszal  [[volt ]]  becsinálva a reszelés helye.  || 
Bark. 7.	1699-06-05	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 Édesem, hozzon Kegyelmed olyan réz galandot,  || mint Orosz Pál Uram hozott  [[volt.  ||]]   Fehért is egy véggel, sárgát is.  || 
Bark. 7.	1699-06-05	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 Fél@ talléron vette  [[volt ]]  végit,  || melyben vagyon 36 sing is s vagy két asztalra való.  || 
Bark. 8.	1699-06-09	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 Én okát addig tudakoztam,  || mitül rosz,  || már nem csudálom,  ||mert || amint Borbély György mondja,  || mikor vitték,  ||sok ízbe megázot az árvízbe, || talám fel is dűltek  [[volt ]]  velle,  || s azután a meleg, ha megsütötte,  || el kellet romlani.  || 
Bark. 8.	1699-06-09	1699			Barkóczy Krisztina	Károlyi Sándor	nemes	 8 katona s 9 hajdú  [[volt.  ||]]   
Bark. 10.	1703-06-06	1703			Barkóczy Krisztina	Károlyi Sándor	nemes	 Mi ugyan kértük,  || hogy ugyan továb is azokot vigye,  || ha szükséges,  ||mert innet mind oda van, || az kinek lova van  || és puskás is,  || az ki  [[volt,  ||]]  az vármegye közé. || 
