⁊	⁊	⁊c,⁊c,⁊c,⁊c,⁊c,⁊cKewethkezyk,⁊c,⁊ctWala,⁊ctMykoron,⁊cMyker,⁊c
à	á	à,raggatwàmynden,à,quàm,à,à,à,à,à,à,oràit
ǎ	á	ǎldoza,Mondǎnak,immǎr,zolǎl,onzollǎkozeek,onzollǎ,monduǎnIgazaan,vrbǎn,parancholǎo̗teth,Vrbǎvalo,Vrbǎn
Ā	Á	Āllʼatok,Ām,Ām,Ārtatlan,Āldott,Āluān̄,Āldott,Ām,Ām,Āron̄,Āldott
ᵃ	a	AueᵃO,A·ᵃO,kateᵃlegh,kateᵃaz,kaᵃalhatatos,Ewangeᵃ{47b}Ez,EwanᵐᵃEz,ewanᵗᵃkenÿweenek,baptᵗᵃ,ewanᵗᵃ,EwaᵐᵃEZ
ā	á	EpistoāZent,EpistoāPal,zolgāiob,monduāCrístusnac,akā--ía,írvāIsay̋as,mārtvam,/Aty̋ā,āuaia,mondvā,y̋madcozvāboÿto̗lvala
a̋	á	kya̋tassal,hoz--za̋m
â	á	mâs
ả	ár	Mảtỉrol,mảtỉnak,immảvronk,čazảmeg,polgảgiermo̗ke,Akả--y̋ok,mảia,mảia,mảia
Æ	ae	Ænnonban,
æ	ae	Ju-dæában,,Galilæa,Nazaræuſnak,prædikálvánJudæa,prædikálvánJudæa,Judæa,és,Galiltæáboͤˊl,Galilæába:,Galilæája,,prædikállani,,Galilæa
ᵇ	b	ewanᵇᵃ
b̄	b	kőnÿvéczkéb̄ꝫ
ć	c	<erćbelo̗l>Harom,ćohoccalko̗veckel,v́dẃo̗-zeÿć,idve-zeÿć,matelukać,azBólćeséget,dićo̗segben,di-ćo̗séo̗ltetik,bẃno̗knekboćianatÿat,boćassadEs,paradićombaMongÿad
č	c	bočatom,čak,bočatandod,čazarnac,čazarnac,čak,čazarnac,čazari,čazarnac,parančoloc,čak
Č	C	Čak
čʼ	c	čʼalard,elkẃlčʼetes,aličʼad,čʼelaiaba,legerkvčʼho̗dben,čʼak,ferenčʼz,:-Ferenčʼz,Ferenčʼzatíank,sinčʼhen,Ferenčʼz
cʼ	c	cʼazar{158v}{158va}Damasws
ᶜ	c	MethᶜᵉAz,MeᶜᵉSemÿnemew,vijmethaᶜᵉ
c̄	c	x̄c̄,íhc̄mínden,íhc̄,ecc̄,Ecc̄,Ec̄c,mondasaatEcc̄,Ec̄c̄ī,Ec̄c̄ī
cᶻ	c	magaztacᶻ,orcᶻaiarul,orcᶻaiat,ercᶻ,felecᶻ,ragacᶻ,magaztacᶻ,veccᶻ,kemencᶻe,orcᶻadnak,orcᶻaiokot
cꝰ	c	tÿthcꝰtanacÿ,henricꝰ,Henricꝰ
dʼ	d	fogadʼ,{78}{39v}faidʼalʼomba
ę	e	dicerę,sę,lennę,Retri--buę{332}{166v}seruo,felel--mę,profetę,imę,ęs,ęs,ęs,ęs
ȩ̇	e	ȩ̇
ȩ	e	ȩ,ȩ,ȩ,ȩ,ȩ,ȩ,ȩ,ȩ
è	e	è,è,è,longè,èféle
ͤ	e	emeztengẏwͤk,zernywͤk,uͤ,kernÿkoͤzTegedet,koͤueſſ,luͤn,luͤn,Huͤtre,Goͤroͤguͤl,Goͤroͤguͤl,Goͤroͤguͤl
Ę	E	Ęz,NIPNĘK,Ęl,Ęz,Ęnnek,Ęnnek,Ęzt,Ęſromot,Ęſrom,Ęleazart,Ęlea-zar
ë	e	gyevhtuën,ÿgëreth,mënd,barbarajmachaga{125}{63r}jdvëz,.>ehezëw,Iſraël,Iſraël,Iſraël,Iſraëlt,Iſraëlnek,Iſraëlnek.{953}[Lk_2][[-]]II.
e̋	e	hallasabane̋bbeen,he̋trendo̗n,ke̋ress,ewee̋,le̋endnek,le̋endnek,le̋endnek,le̋endnek,te̋yend,te̋end,le̋end
ė	e	jelenthetetlėnnagy,vėėz,vėėz,zėėl,zėėl,kėt,kečėgnek,sė,zėnt,ȩ̇
ê	e	kezedbê{111}{56r}Jesus,mêgh
ᵉ	e	MethᶜᵉAz,MeᶜᵉSemÿnemew,vijmethaᶜᵉ,aᵉTyzeno̗tho̗d
ě	é	něuel,temiěnth,ěelo̗,těre,indultatěk,azěrth,teueligěsbo̗l,esměg,vettetuěnvedfel,nězueen,ělo̗istennek
