!	 EXCLAMATION MARK
#	 NUMBER SIGN
&	 AMPERSAND
'	 APOSTROPHE
'ͤ	 APOSTROPHE + COMBINING LATIN SMALL LETTER E
(	 LEFT PARENTHESIS
)	 RIGHT PARENTHESIS
*	 ASTERISK
+	 PLUS SIGN
,	 COMMA
-	 HYPHEN-MINUS
.	 FULL STOP
/	 SOLIDUS
0	 DIGIT ZERO
1	 DIGIT ONE
2	 DIGIT TWO
2ᵒ	 DIGIT TWO + MODIFIER LETTER SMALL O
3	 DIGIT THREE
4	 DIGIT FOUR
5	 DIGIT FIVE
6	 DIGIT SIX
7	 DIGIT SEVEN
8	 DIGIT EIGHT
8ᵐ	 DIGIT EIGHT + MODIFIER LETTER SMALL M
8ᵐᵒ	 DIGIT EIGHT + MODIFIER LETTER SMALL M + MODIFIER LETTER SMALL O
9	 DIGIT NINE
:	 COLON
;	 SEMICOLON
<	 LESS-THAN SIGN
=	 EQUALS SIGN
>	 GREATER-THAN SIGN
?	 QUESTION MARK
@	 COMMERCIAL AT
A	 LATIN CAPITAL LETTER A
B	 LATIN CAPITAL LETTER B
C	 LATIN CAPITAL LETTER C
D	 LATIN CAPITAL LETTER D
E	 LATIN CAPITAL LETTER E
F	 LATIN CAPITAL LETTER F
G	 LATIN CAPITAL LETTER G
H	 LATIN CAPITAL LETTER H
I	 LATIN CAPITAL LETTER I
J	 LATIN CAPITAL LETTER J
K	 LATIN CAPITAL LETTER K
K̄	 LATIN CAPITAL LETTER K + COMBINING MACRON
L	 LATIN CAPITAL LETTER L
Lʼ	 LATIN CAPITAL LETTER L + MODIFIER LETTER APOSTROPHE
M	 LATIN CAPITAL LETTER M
N	 LATIN CAPITAL LETTER N
N̋	 LATIN CAPITAL LETTER N + COMBINING DOUBLE ACUTE ACCENT
O	 LATIN CAPITAL LETTER O
O̗	 LATIN CAPITAL LETTER O + COMBINING ACUTE ACCENT BELOW
O̗̗	 LATIN CAPITAL LETTER O + COMBINING ACUTE ACCENT BELOW + COMBINING ACUTE ACCENT BELOW
Oͤ	 LATIN CAPITAL LETTER O + COMBINING LATIN SMALL LETTER E
P	 LATIN CAPITAL LETTER P
P̄	 LATIN CAPITAL LETTER P + COMBINING MACRON
Q	 LATIN CAPITAL LETTER Q
R	 LATIN CAPITAL LETTER R
R̸	 LATIN CAPITAL LETTER R + COMBINING LONG SOLIDUS OVERLAY
S	 LATIN CAPITAL LETTER S
T	 LATIN CAPITAL LETTER T
Tʼ	 LATIN CAPITAL LETTER T + MODIFIER LETTER APOSTROPHE
U	 LATIN CAPITAL LETTER U
Uͤ	 LATIN CAPITAL LETTER U + COMBINING LATIN SMALL LETTER E
V	 LATIN CAPITAL LETTER V
V́	 LATIN CAPITAL LETTER V + COMBINING ACUTE ACCENT
V̸	 LATIN CAPITAL LETTER V + COMBINING LONG SOLIDUS OVERLAY
Vͤ	 LATIN CAPITAL LETTER V + COMBINING LATIN SMALL LETTER E
W	 LATIN CAPITAL LETTER W
X	 LATIN CAPITAL LETTER X
Y	 LATIN CAPITAL LETTER Y
Y̋	 LATIN CAPITAL LETTER Y + COMBINING DOUBLE ACUTE ACCENT
Z	 LATIN CAPITAL LETTER Z
[	 LEFT SQUARE BRACKET
[ꝰ	 LEFT SQUARE BRACKET + MODIFIER LETTER US
\	 REVERSE SOLIDUS
]	 RIGHT SQUARE BRACKET
_	 LOW LINE
a	 LATIN SMALL LETTER A
a̋	 LATIN SMALL LETTER A + COMBINING DOUBLE ACUTE ACCENT
aͬ	 LATIN SMALL LETTER A + COMBINING LATIN SMALL LETTER R
aᵃ	 LATIN SMALL LETTER A + MODIFIER LETTER SMALL A
aᵉ	 LATIN SMALL LETTER A + MODIFIER LETTER SMALL E
aᵏ	 LATIN SMALL LETTER A + MODIFIER LETTER SMALL K
aᵐ	 LATIN SMALL LETTER A + MODIFIER LETTER SMALL M
aᵐᵃ	 LATIN SMALL LETTER A + MODIFIER LETTER SMALL M + MODIFIER LETTER SMALL A
aᵒ	 LATIN SMALL LETTER A + MODIFIER LETTER SMALL O
